S.No,District,Year,Season,Crop,Rainfall(mm),Minimum Temparature(C),Maximum Temperature (C),Ph,N(Kg/Hectar),P(Kg/Hectar),K(Kg/Hectar),Zn(ppm),Fe(ppm),Cu(ppm),Mn(ppm),Irrigation(MBGL),Yield (Bales/Hectare)
1,Adilabad,2014 - 2015,Kharif,cotton(lint),156.04,29.1,40.5,7.55,180,17.6,284,1.35,14,0.58,12.88,,1.88
2,Adilabad,2015 - 2016,Kharif,cotton(lint),165.74,26.1,37.6,7.55,180,17.6,284,1.35,14,0.58,12.88,,2.49
3,Adilabad,2016 - 2017,Kharif,cotton(lint),240.52,27.3,38.3,7.55,180,17.6,284,1.35,14,0.58,12.88,14.7,2.72
4,Adilabad,2017 - 2018,Kharif,cotton(lint),180.18,27.6,37.4,7.55,180,17.6,284,1.35,14,0.58,12.88,13.95,3.15
5,Adilabad,2018 - 2019,Kharif,cotton(lint),256.06,,,7.55,180,17.6,284,1.35,14,0.58,12.88,14.83,2.55
6,Adilabad,2019 - 2020,Kharif,cotton(lint),204.62,16.8,45.9,7.55,180,17.6,284,1.35,14,0.58,12.88,14.18,4.74
7,Bhadradri,2016 - 2017,Kharif,cotton(lint),250.18,27.2,37.6,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,13.07,3.38
8,Bhadradri,2017 - 2018,Kharif,cotton(lint),194.08,28.6,37.6,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,12.05,3.89
9,Bhadradri,2018 - 2019,Kharif,cotton(lint),205.84,,,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,12.31,2.43
10,Bhadradri,2019 - 2020,Kharif,cotton(lint),225.18,21.6,44.9,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,11.33,3.42
11,Jagitial,2016 - 2017,Kharif,cotton(lint),212.14,26.9,38.2,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,11.15,3.2
12,Jagitial,2017 - 2018,Kharif,cotton(lint),127.66,27.5,37.2,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,7.43,1.94
13,Jagitial,2018 - 2019,Kharif,cotton(lint),191.68,,,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,9.14,2.8
14,Jagitial,2019 - 2020,Kharif,cotton(lint),221.96,19.4,45.4,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,8.41,3.4
15,Jangoan,2016 - 2017,Kharif,cotton(lint),198.66,26,36.9,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,16.42,3.03
16,Jangoan,2017 - 2018,Kharif,cotton(lint),148,26.8,37.3,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,14.23,3.16
17,Jangoan,2018 - 2019,Kharif,cotton(lint),111.3,,,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,12.79,2.19
18,Jangoan,2019 - 2020,Kharif,cotton(lint),184.22,18.8,44.4,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,14.65,2.88
19,Jayashankar,2016 - 2017,Kharif,cotton(lint),237.16,27.8,38.5,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,11.92,3.03
20,Jayashankar,2017 - 2018,Kharif,cotton(lint),170.72,28.9,37.3,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,12.69,2.52
21,Jayashankar,2018 - 2019,Kharif,cotton(lint),217.76,,,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,12.42,2.92
22,Jayashankar,2019 - 2020,Kharif,cotton(lint),266.4,21.16666667,45.6,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,16.3,3.55
